Timestamp,RequestId,Timer,Type,Id,X,Y,Z

2026-02-03 13:30:22.301,caa434e049dc4aff963787976bd8d285,00:00:56.295,Pilot,,-4.645242,4,3
2026-02-03 13:30:22.301,caa434e049dc4aff963787976bd8d285,00:00:56.295,Anchor,1,1,1,1
2026-02-03 13:30:22.301,caa434e049dc4aff963787976bd8d285,00:00:56.295,Anchor,2,2,2,3
2026-02-03 13:30:22.301,caa434e049dc4aff963787976bd8d285,00:00:56.295,Anchor,3,3,1,2
2026-02-03 13:30:27.113,6776731c71f24bfa97a077a9f035abe1,00:01:01.117,Pilot,,-28.682962,4,3
2026-02-03 13:30:30.691,cb9bceba04a044689abce128138dc476,00:01:04.694,Anchor,1,1,1,1
2026-02-03 13:30:53.688,48f067a4a34b47a1844f91f9ac2192ae,00:01:27.688,Pilot,,-143.6257435,4,3
2026-02-03 13:30:53.688,48f067a4a34b47a1844f91f9ac2192ae,00:01:27.688,Anchor,1,1,1,1
2026-02-03 13:30:53.688,48f067a4a34b47a1844f91f9ac2192ae,00:01:27.688,Anchor,2,2,2,3
2026-02-03 13:30:53.688,48f067a4a34b47a1844f91f9ac2192ae,00:01:27.688,Anchor,3,3,1,2
2026-02-03 13:31:00.584,813355e1f0024824bc5bfe1b7c680b3b,00:01:34.584,Pilot,,-178.06141300000002,4,3
2026-02-03 13:31:00.585,813355e1f0024824bc5bfe1b7c680b3b,00:01:34.584,Anchor,1,1,1,1
2026-02-03 13:31:00.585,813355e1f0024824bc5bfe1b7c680b3b,00:01:34.584,Anchor,2,2,2,3
2026-02-03 13:31:00.585,813355e1f0024824bc5bfe1b7c680b3b,00:01:34.584,Anchor,3,3,1,2
2026-02-03 13:31:07.057,c5a3c874411248a883bdc3d9c7fe2c81,00:01:41.057,Pilot,,-210.3789145,4,3
2026-02-03 13:31:07.058,c5a3c874411248a883bdc3d9c7fe2c81,00:01:41.057,Anchor,1,1,1,1
2026-02-03 13:31:07.058,c5a3c874411248a883bdc3d9c7fe2c81,00:01:41.057,Anchor,2,2,2,3
2026-02-03 13:31:07.058,c5a3c874411248a883bdc3d9c7fe2c81,00:01:41.057,Anchor,3,3,1,2
2026-02-03 13:31:09.561,52c4d01fcbdf40c8a2a42eabfb0be481,00:01:43.561,Pilot,,-222.8536535,4,3
2026-02-03 13:31:09.562,52c4d01fcbdf40c8a2a42eabfb0be481,00:01:43.561,Anchor,1,1,1,1
2026-02-03 13:31:09.562,52c4d01fcbdf40c8a2a42eabfb0be481,00:01:43.561,Anchor,2,2,2,3
2026-02-03 13:31:09.562,52c4d01fcbdf40c8a2a42eabfb0be481,00:01:43.561,Anchor,3,3,1,2
2026-02-03 13:31:12.259,26dfd820f8ef4f43b403be13fe3c9db2,00:01:46.259,Pilot,,-236.2939335,4,3
2026-02-03 13:31:12.259,26dfd820f8ef4f43b403be13fe3c9db2,00:01:46.259,Anchor,1,1,1,1
2026-02-03 13:31:12.259,26dfd820f8ef4f43b403be13fe3c9db2,00:01:46.259,Anchor,2,2,2,3
2026-02-03 13:31:12.259,26dfd820f8ef4f43b403be13fe3c9db2,00:01:46.259,Anchor,3,3,1,2
2026-02-03 13:31:29.761,3096c15a30754ee79e5a1056f3a6c9e9,00:02:03.760,Pilot,,-269.8038235,4,3
2026-02-03 13:31:29.761,3096c15a30754ee79e5a1056f3a6c9e9,00:02:03.760,Anchor,1,1,1,1
2026-02-03 13:31:29.762,3096c15a30754ee79e5a1056f3a6c9e9,00:02:03.760,Anchor,2,2,2,3
2026-02-03 13:31:29.762,3096c15a30754ee79e5a1056f3a6c9e9,00:02:03.760,Anchor,3,3,1,2
2026-02-03 13:31:32.389,3d20743d435746f6a7520563985808af,00:02:06.393,Pilot,,-282.92147800000004,4,3
2026-02-03 13:31:41.735,dfdd7059136c4732bafa1a1f92a084a5,00:02:15.738,Pilot,,-291.78184000000005,4,3
2026-02-03 14:10:46.213,a4e61b5e234741399988815754c4b9dd,00:01:56.692,Pilot,,-35.166514,4,3
2026-02-03 14:10:46.214,a4e61b5e234741399988815754c4b9dd,00:01:56.692,Anchor,1,1,1,1
2026-02-03 14:10:46.214,a4e61b5e234741399988815754c4b9dd,00:01:56.692,Anchor,2,2,2,3
2026-02-03 14:10:46.215,a4e61b5e234741399988815754c4b9dd,00:01:56.692,Anchor,3,3,1,2
