Timestamp,Time,Distance,Id


2025-05-29 13:40:03.561,Time: 00:00:04.014,distance: 18.027756377319946,Id: 2
2025-05-29 13:40:08.536,Time: 00:00:09.007,No anchor found
2025-05-29 13:40:13.536,Time: 00:00:14.009,No anchor found
2025-05-29 13:40:18.537,Time: 00:00:19.009,distance: 11.180339887498949,Id: 3
2025-05-29 13:40:23.539,Time: 00:00:24.010,distance: 13.45362404707371,Id: 2
2025-05-29 13:40:28.538,Time: 00:00:29.009,distance: 9.219544457292887,Id: 1
2025-05-29 13:40:33.541,Time: 00:00:34.012,distance: 13.45362404707371,Id: 2
2025-05-29 13:40:38.541,Time: 00:00:39.012,distance: 9.055385138137417,Id: 3
2025-05-29 13:40:43.540,Time: 00:00:44.013,distance: 14.866068747318506,Id: 3
2025-05-29 13:40:48.541,Time: 00:00:49.013,distance: 14.866068747318506,Id: 3
